Year,value
1990,3461844.0
1991,3396998.0
1992,3689380.0
1993,3793600.0
1994,3920322.0
1995,4102989.0
1996,4272835.0
1997,4369996.0
1998,4484757.0
1999,4492271.0
2000,4672950.0
2001,4571607.0
2002,4513913.0
2003,4833453.0
2004,5122821.0
2005,5269934.0
2006,5207310.0
2007,5837750.0
2008,5832612.0
2009,5590971.0
2010,6221083.0
2011,6385740.0
2012,6634961.0
2013,6653355.0
2014,6872956.0
2015,6796751.0
2016,7068718.0
2017,7167613.0
2018,7055891.0
2019,6910414.0
2020,7032856.0
2021,7419762.0
2022,7364666.0
2023,7111709.0
