Sub-region Name,Area,Area Code (M49)
Eastern Europe,Belarus,112
Eastern Europe,Bulgaria,100
Eastern Europe,Czechia,203
Eastern Europe,Hungary,348
Eastern Europe,Poland,616
Eastern Europe,Republic of Moldova,498
Eastern Europe,Romania,642
Eastern Europe,Russian Federation,643
Eastern Europe,Slovakia,703
Eastern Europe,Ukraine,804
Northern Europe,Åland Islands,248
Northern Europe,Denmark,208
Northern Europe,Estonia,233
Northern Europe,Faroe Islands,234
Northern Europe,Finland,246
Northern Europe,Guernsey,831
Northern Europe,Iceland,352
Northern Europe,Ireland,372
Northern Europe,Isle of Man,833
Northern Europe,Jersey,832
Northern Europe,Latvia,428
Northern Europe,Lithuania,440
Northern Europe,Norway,578
Northern Europe,Svalbard and Jan Mayen Islands,744
Northern Europe,Sweden,752
Northern Europe,United Kingdom of Great Britain and Northern Ireland,826
Southern Europe,Albania,8
Southern Europe,Andorra,20
Southern Europe,Bosnia and Herzegovina,70
Southern Europe,Croatia,191
Southern Europe,Gibraltar,292
Southern Europe,Greece,300
Southern Europe,Holy See,336
Southern Europe,Italy,380
Southern Europe,Malta,470
Southern Europe,Montenegro,499
Southern Europe,North Macedonia,807
Southern Europe,Portugal,620
Southern Europe,San Marino,674
Southern Europe,Serbia,688
Southern Europe,Slovenia,705
Southern Europe,Spain,724
Western Europe,Austria,40
Western Europe,Belgium,56
Western Europe,France,250
Western Europe,Germany,276
Western Europe,Liechtenstein,438
Western Europe,Luxembourg,442
Western Europe,Monaco,492
Western Europe,Netherlands (Kingdom of the),528
Western Europe,Switzerland,756
Central Asia,Kazakhstan,398
Central Asia,Kyrgyzstan,417
Central Asia,Tajikistan,762
Central Asia,Turkmenistan,795
Central Asia,Uzbekistan,860
Eastern Asia,China,156
Eastern Asia,"China, Hong Kong Special Administrative Region",344
Eastern Asia,"China, Macao Special Administrative Region",446
Eastern Asia,Democratic People's Republic of Korea,408
Eastern Asia,Japan,392
Eastern Asia,Mongolia,496
Eastern Asia,Republic of Korea,410
South-eastern Asia,Brunei Darussalam,96
South-eastern Asia,Cambodia,116
South-eastern Asia,Indonesia,360
South-eastern Asia,Lao People's Democratic Republic,418
South-eastern Asia,Malaysia,458
South-eastern Asia,Myanmar,104
South-eastern Asia,Philippines,608
South-eastern Asia,Singapore,702
South-eastern Asia,Thailand,764
South-eastern Asia,Timor-Leste,626
South-eastern Asia,Viet Nam,704
Southern Asia,Afghanistan,4
Southern Asia,Bangladesh,50
Southern Asia,Bhutan,64
Southern Asia,India,356
Southern Asia,Iran (Islamic Republic of),364
Southern Asia,Maldives,462
Southern Asia,Nepal,524
Southern Asia,Pakistan,586
Southern Asia,Sri Lanka,144
Western Asia,Armenia,51
Western Asia,Azerbaijan,31
Western Asia,Bahrain,48
Western Asia,Cyprus,196
Western Asia,Georgia,268
Western Asia,Iraq,368
Western Asia,Israel,376
Western Asia,Jordan,400
Western Asia,Kuwait,414
Western Asia,Lebanon,422
Western Asia,Oman,512
Western Asia,Qatar,634
Western Asia,Saudi Arabia,682
Western Asia,State of Palestine,275
Western Asia,Syrian Arab Republic,760
Western Asia,Türkiye,792
Western Asia,United Arab Emirates,784
Western Asia,Yemen,887
Latin America and the Caribbean,Anguilla,660
Latin America and the Caribbean,Antigua and Barbuda,28
Latin America and the Caribbean,Aruba,533
Latin America and the Caribbean,Bahamas,44
Latin America and the Caribbean,Barbados,52
Latin America and the Caribbean,"Bonaire, Sint Eustatius and Saba",535
Latin America and the Caribbean,British Virgin Islands,92
Latin America and the Caribbean,Cayman Islands,136
Latin America and the Caribbean,Cuba,192
Latin America and the Caribbean,Curaçao,531
Latin America and the Caribbean,Dominica,212
Latin America and the Caribbean,Dominican Republic,214
Latin America and the Caribbean,Grenada,308
Latin America and the Caribbean,Guadeloupe,312
Latin America and the Caribbean,Haiti,332
Latin America and the Caribbean,Jamaica,388
Latin America and the Caribbean,Martinique,474
Latin America and the Caribbean,Montserrat,500
Latin America and the Caribbean,Puerto Rico,630
Latin America and the Caribbean,Saint Barthélemy,652
Latin America and the Caribbean,Saint Kitts and Nevis,659
Latin America and the Caribbean,Saint Lucia,662
Latin America and the Caribbean,Saint Martin (French Part),663
Latin America and the Caribbean,Saint Vincent and the Grenadines,670
Latin America and the Caribbean,Sint Maarten (Dutch part),534
Latin America and the Caribbean,Trinidad and Tobago,780
Latin America and the Caribbean,Turks and Caicos Islands,796
Latin America and the Caribbean,United States Virgin Islands,850
Latin America and the Caribbean,Belize,84
Latin America and the Caribbean,Costa Rica,188
Latin America and the Caribbean,El Salvador,222
Latin America and the Caribbean,Guatemala,320
Latin America and the Caribbean,Honduras,340
Latin America and the Caribbean,Mexico,484
Latin America and the Caribbean,Nicaragua,558
Latin America and the Caribbean,Panama,591
Latin America and the Caribbean,Argentina,32
Latin America and the Caribbean,Bolivia (Plurinational State of),68
Latin America and the Caribbean,Bouvet Island,74
Latin America and the Caribbean,Brazil,76
Latin America and the Caribbean,Chile,152
Latin America and the Caribbean,Colombia,170
Latin America and the Caribbean,Ecuador,218
Latin America and the Caribbean,Falkland Islands (Malvinas),238
Latin America and the Caribbean,French Guiana,254
Latin America and the Caribbean,Guyana,328
Latin America and the Caribbean,Paraguay,600
Latin America and the Caribbean,Peru,604
Latin America and the Caribbean,South Georgia and the South Sandwich Islands,239
Latin America and the Caribbean,Suriname,740
Latin America and the Caribbean,Uruguay,858
Latin America and the Caribbean,Venezuela (Bolivarian Republic of),862
Northern America,Bermuda,60
Northern America,Canada,124
Northern America,Greenland,304
Northern America,Saint Pierre and Miquelon,666
Northern America,United States of America,840
Australia and New Zealand,Australia,36
Australia and New Zealand,Christmas Island,162
Australia and New Zealand,Cocos (Keeling) Islands,166
Australia and New Zealand,Heard Island and McDonald Islands,334
Australia and New Zealand,New Zealand,554
Australia and New Zealand,Norfolk Island,574
Melanesia,Fiji,242
Melanesia,New Caledonia,540
Melanesia,Papua New Guinea,598
Melanesia,Solomon Islands,90
Melanesia,Vanuatu,548
Micronesia,Guam,316
Micronesia,Kiribati,296
Micronesia,Marshall Islands,584
Micronesia,Micronesia (Federated States of),583
Micronesia,Nauru,520
Micronesia,Northern Mariana Islands,580
Micronesia,Palau,585
Micronesia,United States Minor Outlying Islands,581
Polynesia,American Samoa,16
Polynesia,Cook Islands,184
Polynesia,French Polynesia,258
Polynesia,Niue,570
Polynesia,Pitcairn,612
Polynesia,Samoa,882
Polynesia,Tokelau,772
Polynesia,Tonga,776
Polynesia,Tuvalu,798
Polynesia,Wallis and Futuna Islands,876
Northern Africa,Algeria,12
Northern Africa,Egypt,818
Northern Africa,Libya,434
Northern Africa,Morocco,504
Northern Africa,Sudan,729
Northern Africa,Tunisia,788
Northern Africa,Western Sahara,732
Sub-Saharan Africa,British Indian Ocean Territory,86
Sub-Saharan Africa,Burundi,108
Sub-Saharan Africa,Comoros,174
Sub-Saharan Africa,Djibouti,262
Sub-Saharan Africa,Eritrea,232
Sub-Saharan Africa,Ethiopia,231
Sub-Saharan Africa,French Southern Territories,260
Sub-Saharan Africa,Kenya,404
Sub-Saharan Africa,Madagascar,450
Sub-Saharan Africa,Malawi,454
Sub-Saharan Africa,Mauritius,480
Sub-Saharan Africa,Mayotte,175
Sub-Saharan Africa,Mozambique,508
Sub-Saharan Africa,Réunion,638
Sub-Saharan Africa,Rwanda,646
Sub-Saharan Africa,Seychelles,690
Sub-Saharan Africa,Somalia,706
Sub-Saharan Africa,South Sudan,728
Sub-Saharan Africa,Uganda,800
Sub-Saharan Africa,United Republic of Tanzania,834
Sub-Saharan Africa,Zambia,894
Sub-Saharan Africa,Zimbabwe,716
Sub-Saharan Africa,Angola,24
Sub-Saharan Africa,Cameroon,120
Sub-Saharan Africa,Central African Republic,140
Sub-Saharan Africa,Chad,148
Sub-Saharan Africa,Congo,178
Sub-Saharan Africa,Democratic Republic of the Congo,180
Sub-Saharan Africa,Equatorial Guinea,226
Sub-Saharan Africa,Gabon,266
Sub-Saharan Africa,Sao Tome and Principe,678
Sub-Saharan Africa,Botswana,72
Sub-Saharan Africa,Eswatini,748
Sub-Saharan Africa,Lesotho,426
Sub-Saharan Africa,Namibia,516
Sub-Saharan Africa,South Africa,710
Sub-Saharan Africa,Benin,204
Sub-Saharan Africa,Burkina Faso,854
Sub-Saharan Africa,Cabo Verde,132
Sub-Saharan Africa,Côte d’Ivoire,384
Sub-Saharan Africa,Gambia,270
Sub-Saharan Africa,Ghana,288
Sub-Saharan Africa,Guinea,324
Sub-Saharan Africa,Guinea-Bissau,624
Sub-Saharan Africa,Liberia,430
Sub-Saharan Africa,Mali,466
Sub-Saharan Africa,Mauritania,478
Sub-Saharan Africa,Niger,562
Sub-Saharan Africa,Nigeria,566
Sub-Saharan Africa,Saint Helena,654
Sub-Saharan Africa,Senegal,686
Sub-Saharan Africa,Sierra Leone,694
Sub-Saharan Africa,Togo,768
,Antarctica,10
